Anomaly_ID,Customer_ID,Transaction_ID,CDR_IDs,IPDR_IDs,Scenario_Type,Difficulty,Source_Scope,Bank_Anomaly,CDR_Anomaly,IPDR_Anomaly,Amount_Anomaly,Time_Anomaly,Beneficiary_Anomaly,Velocity_Anomaly,Call_Anomaly,Device_Anomaly,Location_Anomaly,Network_Anomaly,Injected_Signals,Is_Suspicious
ANOM27C866A3E81,100003855,ATM25090668SV9T,,,ODD_HOUR_TRANSACTION,HARD,BANK_ONLY,1,0,0,0,1,0,0,0,0,0,0,Time,1
ANOM76AC04AC363,100004999,ATM250212Y09KMT,,,ODD_HOUR_TRANSACTION,MEDIUM,BANK_ONLY,1,0,0,0,1,0,0,0,0,0,0,Time,1
ANOMB00EC1CDA9B,100001388,TXN250110F4KZSE,,,AMOUNT_PLUS_NEW_BENEFICIARY,HARD,BANK_ONLY,1,0,0,1,0,1,0,0,0,0,0,Amount|Beneficiary,1
ANOMF912B3576FB,100002694,UPI2510166TRUK9,,,AMOUNT_VELOCITY_SPIKE,HARD,BANK_ONLY,1,0,0,0,0,0,1,0,0,0,0,Velocity,1
ANOME9393F29609,100003423,ATM250417X80P5D,,,NEW_BENEFICIARY,HARD,BANK_ONLY,1,0,0,0,0,1,0,0,0,0,0,Beneficiary,1
ANOM689643E3B32,100004078,ATM250405JXOC2Z,,,ODD_HOUR_TRANSACTION,HARD,BANK_ONLY,1,0,0,0,1,0,0,0,0,0,0,Time,1
ANOM1FA48E45513,100001489,UPI250327W1RAJM,,,AMOUNT_VELOCITY_SPIKE,HARD,BANK_ONLY,1,0,0,0,0,0,1,0,0,0,0,Velocity,1
ANOM2D5910B9943,100003603,ATM250223KQISNC,,,TRANSACTION_BURST,HARD,BANK_ONLY,1,0,0,0,0,0,1,0,0,0,0,Velocity,1
ANOM9D8B0F936DC,100002176,TXN251013T6EYLX,,,CUSTOMER_RELATIVE_AMOUNT_SPIKE,MEDIUM,BANK_ONLY,1,0,0,1,0,0,0,0,0,0,0,Amount,1
ANOM4BD1AC5AFBD,100002861,ATM250208ULAQHZ,,,AMOUNT_PLUS_NEW_BENEFICIARY,EASY,BANK_ONLY,1,0,0,1,0,1,0,0,0,0,0,Amount|Beneficiary,1
ANOM420F8F9EE3A,100003032,UPI250921ZLE70K,,,NEW_BENEFICIARY,MEDIUM,BANK_ONLY,1,0,0,0,0,1,0,0,0,0,0,Beneficiary,1
ANOM0C2E4122B38,100002111,ATM251015XCGT28,,,CUSTOMER_RELATIVE_AMOUNT_SPIKE,MEDIUM,BANK_ONLY,1,0,0,1,0,0,0,0,0,0,0,Amount,1
ANOM8449BC4E1A0,100002022,ATM2512126L5IVA,,,CUSTOMER_RELATIVE_AMOUNT_SPIKE,HARD,BANK_ONLY,1,0,0,1,0,0,0,0,0,0,0,Amount,1
ANOMAFB670707DF,100005548,TXN250801462BPN,,,CUSTOMER_RELATIVE_AMOUNT_SPIKE,HARD,BANK_ONLY,1,0,0,1,0,0,0,0,0,0,0,Amount,1
ANOM7653F2313BE,100006788,UPI250202NCQ4RG,,,ODD_HOUR_TRANSACTION,EASY,BANK_ONLY,1,0,0,0,1,0,0,0,0,0,0,Time,1
ANOMA23197C1C06,100001135,UPI2508184WBVX3,,,AMOUNT_PLUS_NEW_BENEFICIARY,EASY,BANK_ONLY,1,0,0,1,0,1,0,0,0,0,0,Amount|Beneficiary,1
ANOM2715D649143,100004195,TXN2506141FDQVX,,,ODD_HOUR_TRANSACTION,EASY,BANK_ONLY,1,0,0,0,1,0,0,0,0,0,0,Time,1
ANOM2C02C010518,100003859,UPI250113A55OU7,,,AMOUNT_VELOCITY_SPIKE,HARD,BANK_ONLY,1,0,0,0,0,0,1,0,0,0,0,Velocity,1
ANOM96358354D06,100001539,TXN250112UQQN61,,,NEW_BENEFICIARY,EASY,BANK_ONLY,1,0,0,0,0,1,0,0,0,0,0,Beneficiary,1
ANOM4182ECEDDCD,100000096,TXN2502058EBBVQ,,,CUSTOMER_RELATIVE_AMOUNT_SPIKE,EASY,BANK_ONLY,1,0,0,1,0,0,0,0,0,0,0,Amount,1
ANOM2418BAE018A,100000449,UPI250325CH023B,,,NEW_BENEFICIARY,HARD,BANK_ONLY,1,0,0,0,0,1,0,0,0,0,0,Beneficiary,1
ANOMDE1EBBABD97,100001601,ATM25033085L26P,,,AMOUNT_PLUS_NEW_BENEFICIARY,MEDIUM,BANK_ONLY,1,0,0,1,0,1,0,0,0,0,0,Amount|Beneficiary,1
ANOMA61AE4E9D01,100005419,TXN25071637B7CQ,,,ODD_HOUR_TRANSACTION,EASY,BANK_ONLY,1,0,0,0,1,0,0,0,0,0,0,Time,1
ANOM33DAD5737B7,100002067,IMPS250823BA3VJR,,,AMOUNT_PLUS_NEW_BENEFICIARY,HARD,BANK_ONLY,1,0,0,1,0,1,0,0,0,0,0,Amount|Beneficiary,1
ANOMCB2F9A1D218,100003102,IMPS25011118GAVF,,,AMOUNT_PLUS_NEW_BENEFICIARY,MEDIUM,BANK_ONLY,1,0,0,1,0,1,0,0,0,0,0,Amount|Beneficiary,1
ANOM209973597F2,100002112,TXN250816YV3Z3X,CDR202600065762,,UNUSUAL_CALL_BEFORE_TRANSACTION,EASY,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOM910DABA47EB,100003883,UPI250315FUH1Z5,CDR202600084672,,UNUSUAL_CALL_BEFORE_TRANSACTION,HARD,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOMB8170BDF57D,100001243,IMPS250417HTKQSU,CDR202600030220,,CALL_THEN_HIGH_VALUE_TRANSFER,EASY,BANK_CDR,1,1,0,1,0,0,0,1,0,0,0,Amount|Call,1
ANOMAA7F4F39189,100001233,UPI250503GOHRXI,CDR202600043716,,UNUSUAL_CALL_BEFORE_TRANSACTION,EASY,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOM01E3B9BFAC9,100002888,ATM250629OE6DX6,CDR202600043262,,UNUSUAL_CALL_BEFORE_TRANSACTION,EASY,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOMED312475B2C,100003751,UPI250731FSX3H7,CDR202600061773,,CALL_THEN_NEW_BENEFICIARY,MEDIUM,BANK_CDR,1,1,0,0,0,1,0,1,0,0,0,Call|Beneficiary,1
ANOM1ACC335D56F,100002083,UPI250702ALWC2A,CDR202600055421,,CALL_THEN_NEW_BENEFICIARY,MEDIUM,BANK_CDR,1,1,0,0,0,1,0,1,0,0,0,Call|Beneficiary,1
ANOMB9E97A57718,100001967,UPI25021742SPC5,CDR202600045933,,CALL_THEN_HIGH_VALUE_TRANSFER,MEDIUM,BANK_CDR,1,1,0,1,0,0,0,1,0,0,0,Amount|Call,1
ANOMAC220123627,100005280,UPI2512260FEDAV,CDR202600049714,,UNUSUAL_CALL_BEFORE_TRANSACTION,EASY,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOMD09881B7EF1,100000589,ATM251128V0OP4W,CDR202600000239,,REPEATED_CALLS_BEFORE_TRANSACTION,MEDIUM,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOMB25244B655D,100006937,TXN250727AWC7KE,CDR202600081106,,REPEATED_CALLS_BEFORE_TRANSACTION,EASY,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOM988270C0502,100003031,ATM2501044L2E4F,CDR202600000347,,REPEATED_CALLS_BEFORE_TRANSACTION,MEDIUM,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOMB0D7DBC8B9D,100006403,ATM250410UCORGO,CDR202600066763,,CALL_THEN_HIGH_VALUE_TRANSFER,HARD,BANK_CDR,1,1,0,1,0,0,0,1,0,0,0,Amount|Call,1
ANOME39A0AA0409,100002655,UPI250521CTJGQP,CDR202600082605,,CALL_THEN_HIGH_VALUE_TRANSFER,EASY,BANK_CDR,1,1,0,1,0,0,0,1,0,0,0,Amount|Call,1
ANOMB34328CBF72,100002590,UPI250521XB9QKK,CDR202600048872,,UNUSUAL_CALL_BEFORE_TRANSACTION,MEDIUM,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOM2217BC88F76,100005370,TXN2510138TGLK2,CDR202600013708,,UNUSUAL_CALL_BEFORE_TRANSACTION,HARD,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOMB3B2F200CE5,100006288,ATM2510261B07CJ,CDR202600040423,,UNUSUAL_CALL_BEFORE_TRANSACTION,EASY,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOM4CECF6DB929,100005129,TXN250112FKKPD4,CDR202600023538,,CALL_THEN_NEW_BENEFICIARY,HARD,BANK_CDR,1,1,0,0,0,1,0,1,0,0,0,Call|Beneficiary,1
ANOM2C2FBE9E01F,100000846,ATM2512262NKAX8,CDR202600058448,,CALL_THEN_NEW_BENEFICIARY,HARD,BANK_CDR,1,1,0,0,0,1,0,1,0,0,0,Call|Beneficiary,1
