Anomaly_ID,Customer_ID,Transaction_ID,CDR_IDs,IPDR_IDs,Scenario_Type,Difficulty,Source_Scope,Bank_Anomaly,CDR_Anomaly,IPDR_Anomaly,Amount_Anomaly,Time_Anomaly,Beneficiary_Anomaly,Velocity_Anomaly,Call_Anomaly,Device_Anomaly,Location_Anomaly,Network_Anomaly,Injected_Signals,Is_Suspicious
ANOM0C2E4122B38,100002111,ATM251015XCGT28,,,CUSTOMER_RELATIVE_AMOUNT_SPIKE,MEDIUM,BANK_ONLY,1,0,0,1,0,0,0,0,0,0,0,Amount,1
ANOM7653F2313BE,100006788,UPI250202NCQ4RG,,,ODD_HOUR_TRANSACTION,EASY,BANK_ONLY,1,0,0,0,1,0,0,0,0,0,0,Time,1
ANOM209973597F2,100002112,TXN250816YV3Z3X,CDR202600065762,,UNUSUAL_CALL_BEFORE_TRANSACTION,EASY,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOMB8170BDF57D,100001243,IMPS250417HTKQSU,CDR202600030220,,CALL_THEN_HIGH_VALUE_TRANSFER,EASY,BANK_CDR,1,1,0,1,0,0,0,1,0,0,0,Amount|Call,1
ANOM01E3B9BFAC9,100002888,ATM250629OE6DX6,CDR202600043262,,UNUSUAL_CALL_BEFORE_TRANSACTION,EASY,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOMED312475B2C,100003751,UPI250731FSX3H7,CDR202600061773,,CALL_THEN_NEW_BENEFICIARY,MEDIUM,BANK_CDR,1,1,0,0,0,1,0,1,0,0,0,Call|Beneficiary,1
ANOM1ACC335D56F,100002083,UPI250702ALWC2A,CDR202600055421,,CALL_THEN_NEW_BENEFICIARY,MEDIUM,BANK_CDR,1,1,0,0,0,1,0,1,0,0,0,Call|Beneficiary,1
ANOMB9E97A57718,100001967,UPI25021742SPC5,CDR202600045933,,CALL_THEN_HIGH_VALUE_TRANSFER,MEDIUM,BANK_CDR,1,1,0,1,0,0,0,1,0,0,0,Amount|Call,1
ANOMAC220123627,100005280,UPI2512260FEDAV,CDR202600049714,,UNUSUAL_CALL_BEFORE_TRANSACTION,EASY,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
ANOMD09881B7EF1,100000589,ATM251128V0OP4W,CDR202600000239,,REPEATED_CALLS_BEFORE_TRANSACTION,MEDIUM,BANK_CDR,0,1,0,0,0,0,0,1,0,0,0,Call,1
