CDR_ID,IPDR_ID,Relationship_Type,Time_Difference_Seconds,Is_Correlated
CDR202600000020,,NO_MATCH,,0
CDR202600000047,,NO_MATCH,,0
CDR202600000077,,NO_MATCH,,0
CDR202600000103,,NO_MATCH,,0
CDR202600000151,,NO_MATCH,,0
CDR202600000155,,NO_MATCH,,0
CDR202600000187,,NO_MATCH,,0
CDR202600000239,,NO_MATCH,,0
CDR202600000254,,NO_MATCH,,0
CDR202600000347,,NO_MATCH,,0
CDR202600000371,,NO_MATCH,,0
CDR202600000414,,NO_MATCH,,0
CDR202600000419,,NO_MATCH,,0
CDR202600000473,,NO_MATCH,,0
CDR202600000566,,NO_MATCH,,0
CDR202600000569,,NO_MATCH,,0
CDR202600000623,,NO_MATCH,,0
CDR202600000640,,NO_MATCH,,0
CDR202600000643,,NO_MATCH,,0
CDR202600000667,,NO_MATCH,,0
CDR202600000693,,NO_MATCH,,0
CDR202600000694,,NO_MATCH,,0
CDR202600000697,,NO_MATCH,,0
CDR202600000814,,NO_MATCH,,0
CDR202600000826,,NO_MATCH,,0
CDR202600001021,,NO_MATCH,,0
CDR202600001045,,NO_MATCH,,0
CDR202600001077,,NO_MATCH,,0
CDR202600001180,,NO_MATCH,,0
CDR202600001290,,NO_MATCH,,0
CDR202600001331,,NO_MATCH,,0
CDR202600001389,,NO_MATCH,,0
CDR202600001407,,NO_MATCH,,0
CDR202600001449,,NO_MATCH,,0
CDR202600001470,,NO_MATCH,,0
CDR202600001535,,NO_MATCH,,0
CDR202600001567,,NO_MATCH,,0
CDR202600001584,,NO_MATCH,,0
CDR202600001655,,NO_MATCH,,0
CDR202600001664,,NO_MATCH,,0
CDR202600001743,,NO_MATCH,,0
CDR202600001862,,NO_MATCH,,0
CDR202600002007,,NO_MATCH,,0
CDR202600002032,,NO_MATCH,,0
CDR202600002052,,NO_MATCH,,0
CDR202600002138,,NO_MATCH,,0
CDR202600002165,,NO_MATCH,,0
CDR202600002217,,NO_MATCH,,0
CDR202600002230,,NO_MATCH,,0
CDR202600002253,,NO_MATCH,,0
CDR202600002272,,NO_MATCH,,0
CDR202600002305,,NO_MATCH,,0
CDR202600002486,,NO_MATCH,,0
CDR202600002550,,NO_MATCH,,0
CDR202600002574,,NO_MATCH,,0
CDR202600002655,,NO_MATCH,,0
CDR202600002670,,NO_MATCH,,0
CDR202600002677,,NO_MATCH,,0
CDR202600002693,,NO_MATCH,,0
CDR202600002695,,NO_MATCH,,0
CDR202600002750,,NO_MATCH,,0
CDR202600002778,,NO_MATCH,,0
CDR202600002785,,NO_MATCH,,0
CDR202600002811,,NO_MATCH,,0
CDR202600002908,,NO_MATCH,,0
CDR202600002994,,NO_MATCH,,0
CDR202600002997,,NO_MATCH,,0
CDR202600003029,,NO_MATCH,,0
CDR202600003059,,NO_MATCH,,0
CDR202600003089,,NO_MATCH,,0
CDR202600003216,,NO_MATCH,,0
CDR202600003263,,NO_MATCH,,0
CDR202600003292,,NO_MATCH,,0
CDR202600003307,,NO_MATCH,,0
CDR202600003329,,NO_MATCH,,0
CDR202600003353,,NO_MATCH,,0
CDR202600003378,,NO_MATCH,,0
CDR202600003387,,NO_MATCH,,0
CDR202600003417,,NO_MATCH,,0
CDR202600003420,,NO_MATCH,,0
CDR202600003429,,NO_MATCH,,0
CDR202600003588,,NO_MATCH,,0
CDR202600003676,,NO_MATCH,,0
CDR202600003742,,NO_MATCH,,0
CDR202600003761,,NO_MATCH,,0
CDR202600003804,,NO_MATCH,,0
CDR202600003914,,NO_MATCH,,0
CDR202600003940,,NO_MATCH,,0
CDR202600003957,,NO_MATCH,,0
CDR202600003977,,NO_MATCH,,0
CDR202600003982,,NO_MATCH,,0
CDR202600004030,,NO_MATCH,,0
CDR202600004127,,NO_MATCH,,0
CDR202600004178,,NO_MATCH,,0
CDR202600004199,,NO_MATCH,,0
CDR202600004207,,NO_MATCH,,0
CDR202600004235,,NO_MATCH,,0
CDR202600004266,,NO_MATCH,,0
CDR202600004324,,NO_MATCH,,0
CDR202600004337,,NO_MATCH,,0
CDR202600004339,,NO_MATCH,,0
CDR202600004407,,NO_MATCH,,0
CDR202600004451,,NO_MATCH,,0
CDR202600004473,,NO_MATCH,,0
CDR202600004492,,NO_MATCH,,0
CDR202600004561,,NO_MATCH,,0
CDR202600004577,,NO_MATCH,,0
CDR202600004588,,NO_MATCH,,0
CDR202600004657,,NO_MATCH,,0
CDR202600004692,,NO_MATCH,,0
CDR202600004742,,NO_MATCH,,0
CDR202600004774,,NO_MATCH,,0
CDR202600004789,,NO_MATCH,,0
CDR202600004802,,NO_MATCH,,0
CDR202600004805,,NO_MATCH,,0
CDR202600004823,,NO_MATCH,,0
CDR202600005002,,NO_MATCH,,0
CDR202600005098,,NO_MATCH,,0
CDR202600005119,,NO_MATCH,,0
CDR202600005181,,NO_MATCH,,0
CDR202600005390,,NO_MATCH,,0
CDR202600005442,,NO_MATCH,,0
CDR202600005447,,NO_MATCH,,0
CDR202600005504,,NO_MATCH,,0
CDR202600005509,,NO_MATCH,,0
CDR202600005569,,NO_MATCH,,0
CDR202600005603,,NO_MATCH,,0
CDR202600005645,,NO_MATCH,,0
CDR202600005732,,NO_MATCH,,0
CDR202600005774,,NO_MATCH,,0
CDR202600005948,,NO_MATCH,,0
CDR202600006062,,NO_MATCH,,0
CDR202600006100,,NO_MATCH,,0
CDR202600006112,,NO_MATCH,,0
CDR202600006137,,NO_MATCH,,0
CDR202600006176,,NO_MATCH,,0
CDR202600006222,,NO_MATCH,,0
CDR202600006259,,NO_MATCH,,0
CDR202600006289,,NO_MATCH,,0
CDR202600006297,,NO_MATCH,,0
CDR202600006348,,NO_MATCH,,0
CDR202600006379,,NO_MATCH,,0
CDR202600006477,,NO_MATCH,,0
CDR202600006504,,NO_MATCH,,0
CDR202600006570,,NO_MATCH,,0
CDR202600006571,,NO_MATCH,,0
CDR202600006666,,NO_MATCH,,0
CDR202600006673,,NO_MATCH,,0
CDR202600006703,,NO_MATCH,,0
CDR202600006769,,NO_MATCH,,0
CDR202600006814,,NO_MATCH,,0
CDR202600006823,,NO_MATCH,,0
CDR202600006861,,NO_MATCH,,0
CDR202600006880,,NO_MATCH,,0
CDR202600006892,,NO_MATCH,,0
CDR202600006951,,NO_MATCH,,0
CDR202600006997,,NO_MATCH,,0
CDR202600007051,,NO_MATCH,,0
CDR202600007062,,NO_MATCH,,0
CDR202600007130,,NO_MATCH,,0
CDR202600007140,,NO_MATCH,,0
CDR202600007156,,NO_MATCH,,0
CDR202600007199,,NO_MATCH,,0
CDR202600007276,,NO_MATCH,,0
CDR202600007281,,NO_MATCH,,0
CDR202600007345,,NO_MATCH,,0
CDR202600007415,,NO_MATCH,,0
CDR202600007434,,NO_MATCH,,0
CDR202600007444,,NO_MATCH,,0
CDR202600007532,,NO_MATCH,,0
CDR202600007560,,NO_MATCH,,0
CDR202600007713,,NO_MATCH,,0
CDR202600007890,,NO_MATCH,,0
CDR202600007960,,NO_MATCH,,0
CDR202600008043,,NO_MATCH,,0
CDR202600008078,,NO_MATCH,,0
CDR202600008115,,NO_MATCH,,0
CDR202600008184,,NO_MATCH,,0
CDR202600008198,,NO_MATCH,,0
CDR202600008211,,NO_MATCH,,0
CDR202600008232,,NO_MATCH,,0
CDR202600008248,,NO_MATCH,,0
CDR202600008277,,NO_MATCH,,0
CDR202600008294,,NO_MATCH,,0
CDR202600008365,,NO_MATCH,,0
CDR202600008389,,NO_MATCH,,0
CDR202600008482,,NO_MATCH,,0
CDR202600008660,,NO_MATCH,,0
CDR202600008735,,NO_MATCH,,0
CDR202600008738,,NO_MATCH,,0
CDR202600008758,,NO_MATCH,,0
CDR202600008814,,NO_MATCH,,0
CDR202600008851,,NO_MATCH,,0
CDR202600008938,,NO_MATCH,,0
CDR202600008947,,NO_MATCH,,0
CDR202600008977,,NO_MATCH,,0
CDR202600008999,,NO_MATCH,,0
CDR202600009044,,NO_MATCH,,0
CDR202600009161,,NO_MATCH,,0
CDR202600009221,,NO_MATCH,,0
CDR202600009226,,NO_MATCH,,0
CDR202600009323,,NO_MATCH,,0
CDR202600009339,,NO_MATCH,,0
CDR202600009359,,NO_MATCH,,0
CDR202600009367,,NO_MATCH,,0
CDR202600009400,,NO_MATCH,,0
CDR202600009401,,NO_MATCH,,0
CDR202600009455,,NO_MATCH,,0
CDR202600009459,,NO_MATCH,,0
CDR202600009496,,NO_MATCH,,0
CDR202600009542,,NO_MATCH,,0
CDR202600009572,,NO_MATCH,,0
CDR202600009645,,NO_MATCH,,0
CDR202600009667,,NO_MATCH,,0
CDR202600009701,,NO_MATCH,,0
CDR202600009787,,NO_MATCH,,0
CDR202600009804,,NO_MATCH,,0
CDR202600009903,,NO_MATCH,,0
CDR202600009940,,NO_MATCH,,0
CDR202600010157,,NO_MATCH,,0
CDR202600010172,,NO_MATCH,,0
CDR202600010204,,NO_MATCH,,0
CDR202600010228,,NO_MATCH,,0
CDR202600010236,,NO_MATCH,,0
CDR202600010248,,NO_MATCH,,0
CDR202600010287,,NO_MATCH,,0
CDR202600010366,,NO_MATCH,,0
CDR202600010484,,NO_MATCH,,0
CDR202600010555,,NO_MATCH,,0
CDR202600010584,,NO_MATCH,,0
CDR202600010607,,NO_MATCH,,0
CDR202600010617,,NO_MATCH,,0
CDR202600010680,,NO_MATCH,,0
CDR202600010916,,NO_MATCH,,0
CDR202600010931,,NO_MATCH,,0
