Transaction_ID,Timestamp,Account_ID,Amount,Transaction_Type,Merchant_Category,Channel,Currency,Balance_Before,Balance_After,Country_Code,Device_ID,Beneficiary_ID,Is_Anomaly,Scenario_Type
TXN_00000000,2023-01-01 02:54:42,ACC_00399,261.54,CREDIT,ATM,MOBILE,USD,36263.62,15883.5,SG,DEV_000551,BEN_002391,1,IMSI_IMEI_PAIR_NOVELTY
TXN_00000001,2023-01-01 06:01:25,ACC_00129,232.93,TRANSFER,DIGITAL,ATM,USD,49811.05,30914.31,GB,DEV_000580,BEN_001428,1,NEW_BENEFICIARY
TXN_00000002,2023-01-01 11:49:56,ACC_00268,59.14,CREDIT,OTHER,BRANCH,USD,32904.22,31074.65,CA,DEV_000863,BEN_000183,1,NETWORK_SESSION_BURST_AROUND_TRANSACTION
TXN_00000003,2023-01-01 17:24:05,ACC_00310,91.29,WITHDRAWAL,TRAVEL,WEB,USD,35478.33,9463.2,CA,DEV_000300,BEN_000326,0,NORMAL
TXN_00000004,2023-01-02 01:35:42,ACC_00351,15.73,DEBIT,RETAIL,BRANCH,USD,36492.28,34757.47,FR,DEV_000630,BEN_001681,0,NORMAL
TXN_00000005,2023-01-02 05:06:59,ACC_00246,70.95,WITHDRAWAL,RETAIL,ATM,USD,18126.49,40337.27,GB,DEV_000367,BEN_002417,0,NORMAL
TXN_00000006,2023-01-02 17:55:05,ACC_00457,56.82,WITHDRAWAL,TRAVEL,BRANCH,USD,34245.36,20033.92,FR,DEV_000891,BEN_000833,0,NORMAL
TXN_00000007,2023-01-02 22:03:54,ACC_00312,252.36,DEBIT,GROCERY,ATM,USD,31958.55,36761.99,SG,DEV_000164,BEN_001650,1,UNUSUAL_CALL_BEFORE_TRANSACTION
TXN_00000008,2023-01-03 02:47:12,ACC_00455,19.64,TRANSFER,GROCERY,MOBILE,USD,29083.24,13265.68,FR,DEV_000090,BEN_000590,0,NORMAL
TXN_00000009,2023-01-03 07:46:59,ACC_00369,40.9,DEBIT,RETAIL,WEB,USD,19623.73,14489.81,US,DEV_001758,BEN_001407,0,NORMAL
TXN_00000010,2023-01-03 08:10:04,ACC_00046,191.91,WITHDRAWAL,GROCERY,BRANCH,USD,26021.09,16598.27,GB,DEV_001072,BEN_000462,1,CALL_THEN_NEW_BENEFICIARY
TXN_00000011,2023-01-03 13:20:58,ACC_00113,74.6,CREDIT,GROCERY,ATM,USD,45029.84,14209.66,GB,DEV_001970,BEN_002722,0,NORMAL
TXN_00000012,2023-01-03 15:48:22,ACC_00279,284.57,DEBIT,GROCERY,MOBILE,USD,19916.7,5021.31,IN,DEV_000904,BEN_002052,0,NORMAL
TXN_00000013,2023-01-03 18:48:31,ACC_00330,59.38,CREDIT,DIGITAL,WEB,USD,43402.17,16366.33,SG,DEV_000384,BEN_002070,1,CALL_THEN_NEW_BENEFICIARY
TXN_00000014,2023-01-04 03:18:18,ACC_00494,89.57,DEBIT,OTHER,ATM,USD,9857.0,16230.65,FR,DEV_001404,BEN_001365,0,NORMAL
TXN_00000015,2023-01-04 04:57:05,ACC_00483,192.54,DEBIT,OTHER,BRANCH,USD,39788.04,28806.35,US,DEV_000103,BEN_001701,1,UNUSUAL_LOCATION_CONTEXT
TXN_00000016,2023-01-04 13:40:16,ACC_00493,225.97,DEBIT,GROCERY,BRANCH,USD,33799.48,22368.57,US,DEV_000542,BEN_001361,0,NORMAL
TXN_00000017,2023-01-04 14:07:19,ACC_00178,66.34,CREDIT,OTHER,BRANCH,USD,14816.17,48484.91,IN,DEV_000881,BEN_001694,0,NORMAL
TXN_00000018,2023-01-04 14:40:17,ACC_00452,79.89,WITHDRAWAL,ATM,ATM,USD,26957.93,45470.6,US,DEV_001680,BEN_002961,0,NORMAL
TXN_00000019,2023-01-04 15:24:35,ACC_00045,54.85,TRANSFER,OTHER,WEB,USD,20263.17,2263.55,CA,DEV_000844,BEN_001053,0,NORMAL
TXN_00000020,2023-01-04 20:54:16,ACC_00180,64.84,WITHDRAWAL,GROCERY,BRANCH,USD,34615.36,46141.03,SG,DEV_001162,BEN_002540,0,NORMAL
TXN_00000021,2023-01-04 21:10:43,ACC_00314,48.6,TRANSFER,RETAIL,WEB,USD,21728.03,10433.12,SG,DEV_000714,BEN_001855,0,NORMAL
TXN_00000022,2023-01-04 21:39:50,ACC_00425,84.85,CREDIT,TRAVEL,BRANCH,USD,14397.22,8187.15,DE,DEV_000217,BEN_002599,0,NORMAL
TXN_00000023,2023-01-05 04:32:48,ACC_00494,184.06,TRANSFER,DIGITAL,WEB,USD,15501.36,25360.56,SG,DEV_001300,BEN_002331,0,NORMAL
TXN_00000024,2023-01-05 06:22:06,ACC_00140,46.26,DEBIT,DIGITAL,BRANCH,USD,1704.45,30952.21,FR,DEV_000949,BEN_000368,0,NORMAL
TXN_00000025,2023-01-05 12:39:04,ACC_00089,23.5,TRANSFER,RETAIL,ATM,USD,9084.65,41763.62,SG,DEV_001286,BEN_001967,0,NORMAL
TXN_00000026,2023-01-05 13:28:00,ACC_00153,55.0,TRANSFER,GROCERY,MOBILE,USD,28429.78,47279.65,FR,DEV_000464,BEN_001169,0,NORMAL
TXN_00000027,2023-01-05 17:10:04,ACC_00250,29.82,CREDIT,OTHER,WEB,USD,16442.35,14713.5,CA,DEV_001853,BEN_002369,0,NORMAL
TXN_00000028,2023-01-05 22:28:57,ACC_00030,13.33,CREDIT,OTHER,ATM,USD,18681.21,34120.11,CA,DEV_001461,BEN_002042,0,NORMAL
TXN_00000029,2023-01-06 00:36:56,ACC_00093,20.6,CREDIT,TRAVEL,BRANCH,USD,14533.1,24647.77,IN,DEV_001898,BEN_000677,0,NORMAL
TXN_00000030,2023-01-06 02:01:41,ACC_00485,100.5,CREDIT,DIGITAL,ATM,USD,41975.38,33347.2,SG,DEV_000742,BEN_001494,0,NORMAL
TXN_00000031,2023-01-06 04:46:14,ACC_00326,244.28,DEBIT,GROCERY,ATM,USD,24808.67,714.51,GB,DEV_001314,BEN_000843,0,NORMAL
TXN_00000032,2023-01-06 06:22:32,ACC_00077,36.28,CREDIT,TRAVEL,WEB,USD,4898.48,29206.92,IN,DEV_000769,BEN_001291,0,NORMAL
TXN_00000033,2023-01-06 08:29:54,ACC_00318,65.69,CREDIT,OTHER,MOBILE,USD,12932.72,19359.62,GB,DEV_001054,BEN_000780,0,NORMAL
TXN_00000034,2023-01-06 17:26:41,ACC_00331,195.19,DEBIT,DIGITAL,BRANCH,USD,20988.76,33270.05,CA,DEV_001639,BEN_001589,0,NORMAL
TXN_00000035,2023-01-06 17:39:09,ACC_00302,6.98,WITHDRAWAL,GROCERY,BRANCH,USD,28989.09,28654.81,FR,DEV_000082,BEN_001900,0,NORMAL
TXN_00000036,2023-01-07 02:25:24,ACC_00434,27.26,DEBIT,DIGITAL,WEB,USD,37587.46,5606.83,DE,DEV_001097,BEN_002990,0,NORMAL
TXN_00000037,2023-01-07 02:51:50,ACC_00481,136.28,CREDIT,RETAIL,ATM,USD,2830.58,36180.09,IN,DEV_001533,BEN_002372,0,NORMAL
TXN_00000038,2023-01-07 06:21:06,ACC_00001,1017.73,DEBIT,OTHER,MOBILE,USD,11049.55,48049.73,DE,DEV_000727,BEN_002820,0,NORMAL
TXN_00000039,2023-01-07 16:51:01,ACC_00444,18.89,WITHDRAWAL,OTHER,MOBILE,USD,36483.32,24587.2,IN,DEV_001134,BEN_002828,0,NORMAL
