IPDR_ID,Timestamp,Device_ID,Source_IP,Dest_IP,Dest_Port,Protocol,Bytes_Sent,Bytes_Received,Domain_Name,Session_Duration_Sec,ASN,VPN_Flag,Tor_Flag,Location_Context
IPDR_00000000,2023-01-01 00:19:33,DEV_000935,239.106.133.156,218.25.177.37,3306,TCP,24577,155,cdn.net,571.64,32934,0,0,MIA
IPDR_00000001,2023-01-01 02:52:22,DEV_001857,86.13.130.125,218.202.149.3,443,ICMP,25982,395,cdn.net,1379.9,15169,0,0,SEA
IPDR_00000002,2023-01-01 03:17:24,DEV_001035,218.163.86.171,188.92.28.34,3306,ICMP,4302,10990,amazon.com,568.8,15169,0,0,HOU
IPDR_00000003,2023-01-01 05:40:59,DEV_001075,135.29.238.48,98.197.33.112,8080,UDP,46667,2732,bank.com,122.8,8075,0,0,CHI
IPDR_00000004,2023-01-01 07:03:16,DEV_000118,139.42.225.222,107.17.204.30,8080,UDP,7560,3935,amazon.com,336.23,8075,1,1,MIA
IPDR_00000005,2023-01-01 08:01:35,DEV_000375,250.90.197.7,142.14.76.101,22,UDP,53395,62,api.service.io,192.73,32934,0,0,HOU
IPDR_00000006,2023-01-01 09:06:02,DEV_000703,197.130.42.119,164.226.207.114,80,UDP,1100,73096,cdn.net,2.2,16509,0,0,MIA
IPDR_00000007,2023-01-01 09:09:16,DEV_000671,239.146.231.64,227.43.105.162,53,TCP,10510,302,amazon.com,293.68,15169,0,0,MIA
IPDR_00000008,2023-01-01 10:17:32,DEV_001287,131.65.153.116,126.162.235.211,80,UDP,2981,314,google.com,516.49,16509,0,0,CHI
IPDR_00000009,2023-01-01 12:50:51,DEV_001285,129.56.46.230,17.232.83.148,8080,TCP,1723,953,google.com,208.53,32934,0,0,MIA
IPDR_00000010,2023-01-01 13:47:52,DEV_000117,67.246.88.247,76.11.31.199,5432,TCP,1261,265,amazon.com,43.36,16509,0,0,LA
IPDR_00000011,2023-01-01 15:53:43,DEV_000309,40.191.205.140,86.150.145.213,443,TCP,429,18845,amazon.com,509.7,16509,0,0,MIA
IPDR_00000012,2023-01-01 19:33:45,DEV_001144,213.163.131.167,177.205.242.226,53,ICMP,17,1820,api.service.io,69.77,16509,0,0,BOS
IPDR_00000013,2023-01-01 20:20:24,DEV_000611,214.56.163.98,92.229.177.177,22,ICMP,10274,1897,bank.com,3.21,8075,0,0,LA
IPDR_00000014,2023-01-01 20:35:07,DEV_000247,114.130.40.86,210.9.95.191,8080,TCP,51,18390,bank.com,496.24,15169,0,0,HOU
IPDR_00000015,2023-01-02 03:17:35,DEV_000472,119.65.109.175,133.100.62.189,5432,TCP,25505,984,api.service.io,238.06,16509,0,0,BOS
IPDR_00000016,2023-01-02 04:09:22,DEV_000639,2.80.18.2,157.194.143.93,3306,UDP,1204,56,cdn.net,361.0,15169,0,0,SEA
IPDR_00000017,2023-01-02 08:46:38,DEV_001277,21.147.110.58,228.194.93.150,53,UDP,39875,5669,google.com,128.44,8075,0,0,HOU
IPDR_00000018,2023-01-02 20:48:36,DEV_001699,229.41.236.173,40.10.160.164,443,UDP,26941,1831,amazon.com,253.34,16509,0,0,BOS
IPDR_00000019,2023-01-02 22:35:41,DEV_001032,240.195.26.102,47.157.72.249,8080,TCP,859,1878,google.com,7.13,8075,0,0,MIA
IPDR_00000020,2023-01-02 23:12:41,DEV_000173,196.234.118.64,176.224.72.58,22,TCP,3013,6933,bank.com,178.51,32934,0,0,CHI
IPDR_00000021,2023-01-02 23:18:57,DEV_001296,117.118.147.156,166.5.46.127,3306,UDP,287,745,google.com,112.83,0,0,0,LA
IPDR_00000022,2023-01-02 23:44:19,DEV_001995,153.243.197.159,204.106.140.50,8080,ICMP,287,2663,bank.com,128.88,0,0,0,CHI
IPDR_00000023,2023-01-03 05:03:16,DEV_001397,71.134.235.138,217.48.192.244,80,UDP,2419,7892,amazon.com,276.15,8075,0,0,HOU
IPDR_00000024,2023-01-03 05:37:45,DEV_000728,128.105.72.62,251.97.46.234,53,TCP,372,622,dark.xyz,562.6,16509,0,0,LA
IPDR_00000025,2023-01-03 09:14:42,DEV_001225,169.15.0.65,230.138.117.213,53,ICMP,20,64702,amazon.com,918.17,0,0,0,CHI
IPDR_00000026,2023-01-03 11:29:40,DEV_000046,100.119.99.74,66.134.27.14,3306,UDP,1233,306,dark.xyz,862.21,16509,0,0,CHI
IPDR_00000027,2023-01-03 12:13:34,DEV_000013,129.13.67.252,21.109.27.84,53,TCP,128,1087,dark.xyz,785.99,0,0,0,NYC
IPDR_00000028,2023-01-03 13:28:20,DEV_000895,226.197.139.2,241.67.151.56,443,ICMP,1721,68193,bank.com,30.15,16509,0,0,BOS
IPDR_00000029,2023-01-03 13:58:35,DEV_000524,90.105.61.240,174.174.176.15,8080,TCP,86990,36388,google.com,21.01,32934,0,0,CHI
IPDR_00000030,2023-01-03 14:53:36,DEV_001057,216.22.159.73,209.187.203.48,8080,ICMP,3725,1329,tor.exit.node,619.77,15169,0,0,HOU
IPDR_00000031,2023-01-03 15:51:37,DEV_001393,74.201.45.86,6.43.70.23,3306,TCP,234,11022,bank.com,181.31,32934,0,0,MIA
