Transaction_ID,Timestamp,Account_ID,Amount,Transaction_Type,Merchant_Category,Channel,Currency,Balance_Before,Balance_After,Country_Code,Device_ID,Beneficiary_ID,Is_Anomaly,Scenario_Type
TXN_00000000,2023-01-01 00:15:17,ACC_00188,49.15,CREDIT,RETAIL,MOBILE,USD,9241.56,43785.24,GB,DEV_000258,BEN_000520,0,NORMAL
TXN_00000001,2023-01-01 01:08:58,ACC_00418,43.41,TRANSFER,TRAVEL,WEB,USD,31324.74,45518.85,US,DEV_000522,BEN_002462,0,NORMAL
TXN_00000002,2023-01-01 05:27:55,ACC_00004,10.82,TRANSFER,RETAIL,MOBILE,USD,48515.15,32037.25,DE,DEV_000965,BEN_001288,0,NORMAL
TXN_00000003,2023-01-01 08:15:25,ACC_00401,727.15,DEBIT,DIGITAL,WEB,USD,26192.24,10169.46,CA,DEV_001127,BEN_000826,0,NORMAL
TXN_00000004,2023-01-01 11:35:43,ACC_00132,19.16,CREDIT,DIGITAL,MOBILE,USD,9451.08,4644.93,FR,DEV_000646,BEN_000892,0,NORMAL
TXN_00000005,2023-01-01 12:06:25,ACC_00427,96.56,TRANSFER,GROCERY,WEB,USD,16102.48,45747.3,GB,DEV_000190,BEN_001160,0,NORMAL
TXN_00000006,2023-01-01 12:37:55,ACC_00218,269.12,WITHDRAWAL,OTHER,MOBILE,USD,41190.56,2871.75,GB,DEV_000578,BEN_000317,0,NORMAL
TXN_00000007,2023-01-01 13:36:24,ACC_00260,149.32,TRANSFER,TRAVEL,BRANCH,USD,17647.88,14864.91,GB,DEV_001288,BEN_001784,0,NORMAL
TXN_00000008,2023-01-01 13:38:35,ACC_00001,83.8,CREDIT,TRAVEL,WEB,USD,36203.22,24399.39,DE,DEV_000836,BEN_002511,0,NORMAL
TXN_00000009,2023-01-01 13:52:56,ACC_00071,11.68,WITHDRAWAL,RETAIL,BRANCH,USD,38889.77,1196.64,CA,DEV_001211,BEN_001022,0,NORMAL
TXN_00000010,2023-01-01 16:58:07,ACC_00478,34.07,DEBIT,ATM,WEB,USD,25109.02,45354.92,GB,DEV_001842,BEN_001973,0,NORMAL
TXN_00000011,2023-01-01 17:52:03,ACC_00178,112.77,WITHDRAWAL,ATM,MOBILE,USD,39182.35,14427.34,IN,DEV_000863,BEN_000199,0,NORMAL
TXN_00000012,2023-01-01 18:47:41,ACC_00457,35.0,TRANSFER,OTHER,ATM,USD,15913.46,1522.39,DE,DEV_001828,BEN_001100,0,NORMAL
TXN_00000013,2023-01-01 19:18:38,ACC_00189,114.9,TRANSFER,ATM,MOBILE,USD,25856.37,49680.14,US,DEV_000648,BEN_002468,0,NORMAL
TXN_00000014,2023-01-01 19:34:23,ACC_00291,203.99,TRANSFER,OTHER,ATM,USD,34359.26,15638.52,CA,DEV_000607,BEN_000870,0,NORMAL
TXN_00000015,2023-01-01 19:37:20,ACC_00008,285.72,DEBIT,GROCERY,BRANCH,USD,8486.85,43850.57,FR,DEV_001937,BEN_001866,0,NORMAL
TXN_00000016,2023-01-01 21:10:18,ACC_00253,20.67,TRANSFER,TRAVEL,ATM,USD,13753.74,22728.38,CA,DEV_001723,BEN_002451,0,NORMAL
TXN_00000017,2023-01-01 21:26:15,ACC_00408,1256.36,CREDIT,RETAIL,ATM,USD,32636.63,33189.98,GB,DEV_000505,BEN_002066,0,NORMAL
TXN_00000018,2023-01-02 01:36:33,ACC_00467,226.1,DEBIT,GROCERY,ATM,USD,32802.47,12130.4,SG,DEV_001768,BEN_001708,0,NORMAL
TXN_00000019,2023-01-02 03:58:54,ACC_00292,89.83,WITHDRAWAL,DIGITAL,ATM,USD,24715.8,25193.48,FR,DEV_001870,BEN_002417,0,NORMAL
TXN_00000020,2023-01-02 04:42:35,ACC_00434,332.77,TRANSFER,DIGITAL,BRANCH,USD,39799.71,12956.79,IN,DEV_001928,BEN_002708,0,NORMAL
TXN_00000021,2023-01-02 07:22:15,ACC_00244,1538.39,CREDIT,DIGITAL,ATM,USD,24154.54,47559.09,CA,DEV_000378,BEN_002562,0,NORMAL
TXN_00000022,2023-01-02 07:38:56,ACC_00123,16.02,CREDIT,OTHER,MOBILE,USD,44077.98,3141.18,FR,DEV_000345,BEN_000030,0,NORMAL
TXN_00000023,2023-01-02 08:25:39,ACC_00299,68.7,DEBIT,OTHER,WEB,USD,36821.58,13806.23,CA,DEV_001230,BEN_000435,0,NORMAL
TXN_00000024,2023-01-02 08:47:13,ACC_00283,5.19,CREDIT,TRAVEL,WEB,USD,15803.27,44666.13,IN,DEV_000983,BEN_001196,0,NORMAL
TXN_00000025,2023-01-02 09:00:34,ACC_00032,113.43,DEBIT,DIGITAL,MOBILE,USD,19823.18,24053.79,US,DEV_000811,BEN_001515,0,NORMAL
TXN_00000026,2023-01-02 09:53:39,ACC_00334,139.56,DEBIT,OTHER,BRANCH,USD,33417.57,30044.2,US,DEV_001257,BEN_000047,0,NORMAL
TXN_00000027,2023-01-02 10:42:12,ACC_00377,85.88,DEBIT,OTHER,MOBILE,USD,44733.19,32619.5,US,DEV_000063,BEN_000299,0,NORMAL
