IPDR_ID,Timestamp,Device_ID,Source_IP,Dest_IP,Dest_Port,Protocol,Bytes_Sent,Bytes_Received,Domain_Name,Session_Duration_Sec,ASN,VPN_Flag,Tor_Flag,Location_Context
IPDR_00000000,2023-01-01 00:03:01,DEV_001668,248.167.146.176,94.5.216.168,443,TCP,80,5503,dark.xyz,118.0,32934,0,0,NYC
IPDR_00000001,2023-01-01 00:20:35,DEV_001903,147.15.14.103,228.153.97.136,443,TCP,3213,4456,tor.exit.node,104.23,0,0,0,LA
IPDR_00000002,2023-01-01 00:38:40,DEV_000410,41.65.133.16,221.88.128.235,53,TCP,19416,22605,google.com,50.59,8075,0,0,LA
IPDR_00000003,2023-01-01 00:43:37,DEV_000772,72.120.53.241,224.134.184.118,80,TCP,637,1001,tor.exit.node,432.55,32934,0,0,MIA
IPDR_00000004,2023-01-01 00:55:41,DEV_001606,98.98.209.72,174.134.152.69,443,TCP,90092,46743,amazon.com,324.54,16509,0,0,MIA
IPDR_00000005,2023-01-01 01:11:58,DEV_000055,57.198.13.149,229.246.17.120,22,ICMP,894,14,google.com,105.49,8075,0,0,HOU
IPDR_00000006,2023-01-01 01:19:34,DEV_001018,27.214.169.242,83.253.110.195,22,ICMP,164982,7263,cdn.net,59.03,32934,0,0,CHI
IPDR_00000007,2023-01-01 01:21:02,DEV_001178,79.84.121.4,132.211.213.52,53,UDP,2431,895,cdn.net,750.03,32934,0,0,HOU
IPDR_00000008,2023-01-01 01:22:57,DEV_001238,98.179.131.170,99.9.138.186,3306,UDP,63267,7656,amazon.com,701.74,8075,0,0,HOU
IPDR_00000009,2023-01-01 01:42:13,DEV_000799,159.191.207.8,171.179.230.81,53,TCP,2410,1097,google.com,80.87,15169,0,0,CHI
IPDR_00000010,2023-01-01 02:01:22,DEV_000423,124.182.221.180,73.175.233.149,80,TCP,2456,4561,cdn.net,46.7,8075,0,0,HOU
IPDR_00000011,2023-01-01 02:23:11,DEV_001628,156.216.131.86,177.76.70.203,8080,TCP,1181,1476,dark.xyz,27.57,16509,0,0,HOU
IPDR_00000012,2023-01-01 02:44:19,DEV_001673,241.220.76.83,170.134.120.116,80,ICMP,1734,3481,tor.exit.node,1164.47,8075,0,0,NYC
