Transaction_ID,Is_Anomaly,Scenario_Type,Anomaly_ID,Injected_Signals,Severity
TXN_00000000,1,IMSI_IMEI_PAIR_NOVELTY,ANM_65787,SYNTHETIC,HIGH
TXN_00000001,1,NEW_BENEFICIARY,ANM_99168,SYNTHETIC,CRITICAL
TXN_00000002,1,NETWORK_SESSION_BURST_AROUND_TRANSACTION,ANM_45998,SYNTHETIC,CRITICAL
TXN_00000007,1,UNUSUAL_CALL_BEFORE_TRANSACTION,ANM_12732,SYNTHETIC,CRITICAL
TXN_00000010,1,CALL_THEN_NEW_BENEFICIARY,ANM_46976,SYNTHETIC,LOW
TXN_00000013,1,CALL_THEN_NEW_BENEFICIARY,ANM_61184,SYNTHETIC,MEDIUM
TXN_00000015,1,UNUSUAL_LOCATION_CONTEXT,ANM_30381,SYNTHETIC,CRITICAL
TXN_00000052,1,NEW_BENEFICIARY,ANM_81969,SYNTHETIC,LOW
TXN_00000088,1,CALL_THEN_NEW_BENEFICIARY,ANM_57083,SYNTHETIC,MEDIUM
TXN_00000089,1,UNUSUAL_LOCATION_CONTEXT,ANM_19852,SYNTHETIC,HIGH
TXN_00000094,1,REPEATED_CALLS_BEFORE_TRANSACTION,ANM_16831,SYNTHETIC,MEDIUM
TXN_00000115,1,NEW_DEVICE_AROUND_TRANSACTION,ANM_26001,SYNTHETIC,LOW
TXN_00000121,1,UNUSUAL_LOCATION_CONTEXT,ANM_26678,SYNTHETIC,MEDIUM
TXN_00000126,1,UNUSUAL_LOCATION_CONTEXT,ANM_23195,SYNTHETIC,CRITICAL
TXN_00000133,1,NETWORK_SESSION_BURST_AROUND_TRANSACTION,ANM_54089,SYNTHETIC,MEDIUM
TXN_00000135,1,UNUSUAL_LOCATION_CONTEXT,ANM_27529,SYNTHETIC,CRITICAL
TXN_00000139,1,CALL_THEN_NEW_BENEFICIARY,ANM_30821,SYNTHETIC,CRITICAL
TXN_00000140,1,SUBTLE_MULTI_SOURCE_SUSPICIOUS_PATTERN,ANM_31813,SYNTHETIC,LOW
TXN_00000147,1,IMSI_IMEI_PAIR_NOVELTY,ANM_11498,SYNTHETIC,HIGH
TXN_00000156,1,REPEATED_CALLS_BEFORE_TRANSACTION,ANM_37378,SYNTHETIC,MEDIUM
TXN_00000164,1,AMOUNT_PLUS_NEW_BENEFICIARY,ANM_43432,SYNTHETIC,HIGH
TXN_00000166,1,CUSTOMER_RELATIVE_AMOUNT_SPIKE,ANM_12511,SYNTHETIC,HIGH
TXN_00000169,1,ODD_HOUR_TRANSACTION,ANM_96300,SYNTHETIC,MEDIUM
TXN_00000192,1,UNUSUAL_CALL_BEFORE_TRANSACTION,ANM_59346,SYNTHETIC,MEDIUM
TXN_00000198,1,NEW_BENEFICIARY,ANM_22699,SYNTHETIC,HIGH
TXN_00000201,1,CALL_THEN_HIGH_VALUE_TRANSFER,ANM_36041,SYNTHETIC,MEDIUM
TXN_00000244,1,SUBTLE_MULTI_SOURCE_SUSPICIOUS_PATTERN,ANM_85637,SYNTHETIC,LOW
TXN_00000246,1,IMSI_IMEI_PAIR_NOVELTY,ANM_98077,SYNTHETIC,HIGH
TXN_00000253,1,REPEATED_CALLS_BEFORE_TRANSACTION,ANM_95710,SYNTHETIC,MEDIUM
TXN_00000263,1,SUBTLE_MULTI_SOURCE_SUSPICIOUS_PATTERN,ANM_57154,SYNTHETIC,LOW
TXN_00000270,1,NEW_BENEFICIARY,ANM_80616,SYNTHETIC,HIGH
TXN_00000280,1,NEW_BENEFICIARY,ANM_95034,SYNTHETIC,MEDIUM
TXN_00000285,1,UNUSUAL_LOCATION_CONTEXT,ANM_77467,SYNTHETIC,CRITICAL
TXN_00000300,1,NEW_DEVICE_AROUND_TRANSACTION,ANM_30976,SYNTHETIC,HIGH
TXN_00000306,1,SUBTLE_MULTI_SOURCE_SUSPICIOUS_PATTERN,ANM_52586,SYNTHETIC,CRITICAL
TXN_00000307,1,AMOUNT_PLUS_NEW_BENEFICIARY,ANM_68845,SYNTHETIC,HIGH
TXN_00000312,1,REPEATED_CALLS_BEFORE_TRANSACTION,ANM_24163,SYNTHETIC,LOW
TXN_00000325,1,CALL_THEN_HIGH_VALUE_TRANSFER,ANM_34206,SYNTHETIC,CRITICAL
TXN_00000330,1,NEW_DEVICE_AROUND_TRANSACTION,ANM_79861,SYNTHETIC,HIGH
TXN_00000331,1,TRANSACTION_BURST,ANM_89295,SYNTHETIC,CRITICAL
TXN_00000332,1,SUBTLE_MULTI_SOURCE_SUSPICIOUS_PATTERN,ANM_83389,SYNTHETIC,CRITICAL
TXN_00000342,1,UNUSUAL_CALL_BEFORE_TRANSACTION,ANM_66685,SYNTHETIC,LOW
TXN_00000343,1,SUBTLE_MULTI_SOURCE_SUSPICIOUS_PATTERN,ANM_42586,SYNTHETIC,LOW
