Transaction_ID,CDR_ID,Link_Confidence,Link_Type
TXN_00001591,CDR_00000613,0.953,ENTITY
TXN_00000923,CDR_00001748,0.89,ENTITY
TXN_00001894,CDR_00004552,0.917,GEO_SPATIAL
TXN_00000654,CDR_00000718,0.937,TEMPORAL
TXN_00000144,CDR_00004595,0.913,GEO_SPATIAL
TXN_00000907,CDR_00003444,0.833,TEMPORAL
TXN_00000396,CDR_00003131,0.739,ENTITY
TXN_00000838,CDR_00003909,0.988,ENTITY
TXN_00001957,CDR_00001479,0.904,ENTITY
TXN_00001691,CDR_00003897,0.712,GEO_SPATIAL
TXN_00000675,CDR_00000704,0.895,TEMPORAL
TXN_00001862,CDR_00001845,0.868,ENTITY
TXN_00001683,CDR_00002295,0.882,ENTITY
TXN_00001372,CDR_00004074,0.717,TEMPORAL
TXN_00000892,CDR_00004038,0.951,GEO_SPATIAL
TXN_00001942,CDR_00000143,0.962,GEO_SPATIAL
TXN_00000006,CDR_00003030,0.74,ENTITY
TXN_00001159,CDR_00000107,0.738,ENTITY
TXN_00000753,CDR_00003417,0.999,TEMPORAL
TXN_00001762,CDR_00003828,0.722,ENTITY
TXN_00000648,CDR_00005368,0.965,ENTITY
TXN_00001880,CDR_00000818,0.909,GEO_SPATIAL
TXN_00000443,CDR_00005177,0.861,ENTITY
TXN_00001764,CDR_00002667,0.751,ENTITY
TXN_00001034,CDR_00005110,0.855,ENTITY
TXN_00001374,CDR_00000247,0.802,TEMPORAL
TXN_00001168,CDR_00002556,0.821,TEMPORAL
TXN_00000011,CDR_00000714,0.927,TEMPORAL
TXN_00000697,CDR_00000602,0.981,GEO_SPATIAL
TXN_00001306,CDR_00005808,0.894,ENTITY
TXN_00001425,CDR_00000377,0.884,GEO_SPATIAL
TXN_00000684,CDR_00004102,0.775,TEMPORAL
TXN_00000441,CDR_00004833,0.818,TEMPORAL
TXN_00001715,CDR_00001210,0.745,TEMPORAL
TXN_00000647,CDR_00003421,0.842,ENTITY
TXN_00001574,CDR_00004854,0.926,ENTITY
TXN_00001747,CDR_00003458,0.872,GEO_SPATIAL
TXN_00000733,CDR_00004970,0.802,ENTITY
TXN_00000266,CDR_00005453,0.766,ENTITY
TXN_00001027,CDR_00005947,0.965,TEMPORAL
TXN_00001254,CDR_00002963,0.779,GEO_SPATIAL
TXN_00000388,CDR_00002764,0.768,ENTITY
TXN_00001902,CDR_00002516,0.907,TEMPORAL
TXN_00000597,CDR_00004941,0.9,TEMPORAL
TXN_00000272,CDR_00003208,0.723,ENTITY
TXN_00001134,CDR_00005563,0.814,TEMPORAL
TXN_00000126,CDR_00000735,0.923,ENTITY
TXN_00000094,CDR_00004903,0.755,TEMPORAL
TXN_00001922,CDR_00003456,0.736,GEO_SPATIAL
TXN_00000324,CDR_00005522,0.888,ENTITY
TXN_00001431,CDR_00005036,0.843,ENTITY
TXN_00000686,CDR_00004378,0.737,ENTITY
TXN_00001105,CDR_00002842,0.881,GEO_SPATIAL
TXN_00000085,CDR_00005087,0.792,ENTITY
TXN_00001813,CDR_00003264,0.754,GEO_SPATIAL
TXN_00000852,CDR_00003984,0.856,ENTITY
TXN_00001860,CDR_00000350,0.912,TEMPORAL
TXN_00000124,CDR_00002198,0.917,ENTITY
TXN_00001427,CDR_00003347,0.748,TEMPORAL
TXN_00000447,CDR_00004137,0.859,GEO_SPATIAL
TXN_00001317,CDR_00000863,0.907,ENTITY
TXN_00001285,CDR_00003200,0.856,GEO_SPATIAL
TXN_00001888,CDR_00002075,0.846,TEMPORAL
TXN_00001594,CDR_00004478,0.762,ENTITY
TXN_00001203,CDR_00003382,0.833,ENTITY
TXN_00001547,CDR_00005894,0.705,TEMPORAL
TXN_00001973,CDR_00003733,0.926,ENTITY
TXN_00000773,CDR_00005247,0.963,GEO_SPATIAL
TXN_00000012,CDR_00003923,0.831,GEO_SPATIAL
TXN_00000510,CDR_00005853,0.862,GEO_SPATIAL
TXN_00001405,CDR_00004448,0.842,TEMPORAL
TXN_00001175,CDR_00005625,0.89,TEMPORAL
TXN_00000768,CDR_00000557,0.767,ENTITY
TXN_00001207,CDR_00000470,0.989,ENTITY
TXN_00000600,CDR_00002377,0.878,ENTITY
TXN_00000421,CDR_00001714,0.964,ENTITY
TXN_00000845,CDR_00000052,0.731,TEMPORAL
TXN_00000769,CDR_00000327,0.958,GEO_SPATIAL
TXN_00001622,CDR_00000264,0.95,TEMPORAL
TXN_00001517,CDR_00003230,0.923,ENTITY
TXN_00001293,CDR_00003573,0.98,TEMPORAL
TXN_00001097,CDR_00004738,0.832,GEO_SPATIAL
TXN_00000306,CDR_00005742,0.893,GEO_SPATIAL
TXN_00001176,CDR_00003747,0.877,TEMPORAL
TXN_00000594,CDR_00005510,0.802,ENTITY
TXN_00001939,CDR_00004127,0.815,TEMPORAL
TXN_00001640,CDR_00003280,0.999,TEMPORAL
TXN_00000754,CDR_00004411,0.852,ENTITY
TXN_00000181,CDR_00003475,0.768,ENTITY
TXN_00000325,CDR_00004739,0.768,TEMPORAL
TXN_00000036,CDR_00002979,0.827,ENTITY
TXN_00000221,CDR_00004456,0.823,GEO_SPATIAL
TXN_00000248,CDR_00002333,0.918,GEO_SPATIAL
