CDR_ID,IPDR_ID,Link_Confidence,Link_Type
CDR_00000613,IPDR_00003510,0.765,NETWORK
CDR_00001748,IPDR_00000421,0.822,DEVICE
CDR_00004552,IPDR_00002849,0.991,TEMPORAL
CDR_00000718,IPDR_00001922,0.803,NETWORK
CDR_00004595,IPDR_00003066,0.881,DEVICE
CDR_00003444,IPDR_00000869,0.851,TEMPORAL
CDR_00003131,IPDR_00000620,0.895,TEMPORAL
CDR_00003909,IPDR_00001047,0.73,DEVICE
CDR_00001479,IPDR_00002377,0.737,DEVICE
CDR_00003897,IPDR_00002491,0.9,DEVICE
CDR_00000704,IPDR_00001708,0.888,TEMPORAL
CDR_00001845,IPDR_00002786,0.751,TEMPORAL
CDR_00002295,IPDR_00000383,0.954,NETWORK
CDR_00004074,IPDR_00002929,0.704,DEVICE
CDR_00004038,IPDR_00002065,0.819,NETWORK
CDR_00000143,IPDR_00001401,0.749,NETWORK
CDR_00003030,IPDR_00001432,0.998,NETWORK
CDR_00000107,IPDR_00003889,0.703,TEMPORAL
CDR_00003417,IPDR_00000463,0.859,NETWORK
CDR_00003828,IPDR_00001181,0.923,DEVICE
CDR_00005368,IPDR_00001024,0.738,TEMPORAL
CDR_00000818,IPDR_00002294,0.797,NETWORK
CDR_00005177,IPDR_00000762,0.987,TEMPORAL
CDR_00002667,IPDR_00002590,0.741,NETWORK
CDR_00005110,IPDR_00001600,0.825,TEMPORAL
CDR_00000247,IPDR_00003228,0.838,TEMPORAL
CDR_00002556,IPDR_00003091,0.869,DEVICE
CDR_00000714,IPDR_00000443,0.762,DEVICE
CDR_00000602,IPDR_00001721,0.96,TEMPORAL
CDR_00005808,IPDR_00001856,0.796,NETWORK
CDR_00000377,IPDR_00003913,0.773,DEVICE
CDR_00004102,IPDR_00002564,0.999,TEMPORAL
CDR_00004833,IPDR_00002010,0.953,NETWORK
CDR_00001210,IPDR_00001607,0.824,TEMPORAL
CDR_00003421,IPDR_00002124,0.864,TEMPORAL
CDR_00004854,IPDR_00001001,0.902,TEMPORAL
CDR_00003458,IPDR_00000622,0.917,TEMPORAL
CDR_00004970,IPDR_00002005,0.739,NETWORK
CDR_00005453,IPDR_00000481,0.92,DEVICE
CDR_00005947,IPDR_00000715,0.82,TEMPORAL
CDR_00002963,IPDR_00000848,0.983,DEVICE
CDR_00002764,IPDR_00001549,0.71,NETWORK
CDR_00002516,IPDR_00002909,0.891,NETWORK
CDR_00004941,IPDR_00000276,0.88,NETWORK
CDR_00003208,IPDR_00001107,0.954,DEVICE
CDR_00005563,IPDR_00000482,0.97,NETWORK
CDR_00000735,IPDR_00003189,0.898,TEMPORAL
CDR_00004903,IPDR_00001300,0.896,NETWORK
CDR_00003456,IPDR_00001854,0.737,TEMPORAL
CDR_00005522,IPDR_00002805,0.918,DEVICE
CDR_00005036,IPDR_00001814,0.783,TEMPORAL
CDR_00004378,IPDR_00000322,0.799,TEMPORAL
CDR_00002842,IPDR_00001460,0.975,NETWORK
CDR_00005087,IPDR_00000539,0.831,DEVICE
CDR_00003264,IPDR_00001206,0.861,DEVICE
CDR_00003984,IPDR_00002028,0.772,NETWORK
CDR_00000350,IPDR_00001294,0.712,TEMPORAL
CDR_00002198,IPDR_00001377,0.776,NETWORK
CDR_00003347,IPDR_00002232,0.818,TEMPORAL
CDR_00004137,IPDR_00002838,0.77,NETWORK
CDR_00000863,IPDR_00001252,0.892,DEVICE
CDR_00003200,IPDR_00000353,0.886,DEVICE
CDR_00002075,IPDR_00003859,0.991,TEMPORAL
CDR_00004478,IPDR_00003171,0.845,TEMPORAL
CDR_00003382,IPDR_00001420,0.701,DEVICE
CDR_00005894,IPDR_00002485,0.965,DEVICE
CDR_00003733,IPDR_00003218,0.896,TEMPORAL
CDR_00005247,IPDR_00001518,0.857,TEMPORAL
CDR_00003923,IPDR_00000755,0.97,DEVICE
CDR_00005853,IPDR_00003246,0.732,DEVICE
CDR_00004448,IPDR_00003992,0.925,TEMPORAL
CDR_00005625,IPDR_00000158,0.815,TEMPORAL
CDR_00000557,IPDR_00001141,0.851,TEMPORAL
CDR_00000470,IPDR_00000544,0.993,TEMPORAL
CDR_00002377,IPDR_00003020,0.911,TEMPORAL
